id,category,buggy_file,fixed_file,reasoning,buggy_snippet,fixed_snippet
01_race_conditions_10,01_race_conditions,dataset/01_race_conditions/sample_10_buggy.v,dataset/01_race_conditions/sample_10_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_10 (
    input clk,
    input [31:0] sig_in_10,
    output reg [31:0] sig_out_10
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_10 = sig_in_10 + 1'b1;
    end
endmodule
","module race_mod_10 (
    input clk,
    input [31:0] sig_in_10,
    output reg [31:0] sig_out_10
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_10 <= sig_in_10 + 1'b1;
    end
endmodule
"
01_race_conditions_11,01_race_conditions,dataset/01_race_conditions/sample_11_buggy.v,dataset/01_race_conditions/sample_11_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_11 (
    input clk,
    input [63:0] sig_in_11,
    output reg [63:0] sig_out_11
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_11 = sig_in_11 + 1'b1;
    end
endmodule
","module race_mod_11 (
    input clk,
    input [63:0] sig_in_11,
    output reg [63:0] sig_out_11
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_11 <= sig_in_11 + 1'b1;
    end
endmodule
"
01_race_conditions_12,01_race_conditions,dataset/01_race_conditions/sample_12_buggy.v,dataset/01_race_conditions/sample_12_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_12 (
    input clk,
    input [7:0] sig_in_12,
    output reg [7:0] sig_out_12
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_12 = sig_in_12 + 1'b1;
    end
endmodule
","module race_mod_12 (
    input clk,
    input [7:0] sig_in_12,
    output reg [7:0] sig_out_12
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_12 <= sig_in_12 + 1'b1;
    end
endmodule
"
01_race_conditions_13,01_race_conditions,dataset/01_race_conditions/sample_13_buggy.v,dataset/01_race_conditions/sample_13_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_13 (
    input clk,
    input [15:0] sig_in_13,
    output reg [15:0] sig_out_13
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_13 = sig_in_13 + 1'b1;
    end
endmodule
","module race_mod_13 (
    input clk,
    input [15:0] sig_in_13,
    output reg [15:0] sig_out_13
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_13 <= sig_in_13 + 1'b1;
    end
endmodule
"
01_race_conditions_14,01_race_conditions,dataset/01_race_conditions/sample_14_buggy.v,dataset/01_race_conditions/sample_14_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_14 (
    input clk,
    input [15:0] sig_in_14,
    output reg [15:0] sig_out_14
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_14 = sig_in_14 + 1'b1;
    end
endmodule
","module race_mod_14 (
    input clk,
    input [15:0] sig_in_14,
    output reg [15:0] sig_out_14
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_14 <= sig_in_14 + 1'b1;
    end
endmodule
"
01_race_conditions_15,01_race_conditions,dataset/01_race_conditions/sample_15_buggy.v,dataset/01_race_conditions/sample_15_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_15 (
    input clk,
    input [31:0] sig_in_15,
    output reg [31:0] sig_out_15
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_15 = sig_in_15 + 1'b1;
    end
endmodule
","module race_mod_15 (
    input clk,
    input [31:0] sig_in_15,
    output reg [31:0] sig_out_15
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_15 <= sig_in_15 + 1'b1;
    end
endmodule
"
01_race_conditions_16,01_race_conditions,dataset/01_race_conditions/sample_16_buggy.v,dataset/01_race_conditions/sample_16_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_16 (
    input clk,
    input [31:0] sig_in_16,
    output reg [31:0] sig_out_16
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_16 = sig_in_16 + 1'b1;
    end
endmodule
","module race_mod_16 (
    input clk,
    input [31:0] sig_in_16,
    output reg [31:0] sig_out_16
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_16 <= sig_in_16 + 1'b1;
    end
endmodule
"
01_race_conditions_17,01_race_conditions,dataset/01_race_conditions/sample_17_buggy.v,dataset/01_race_conditions/sample_17_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_17 (
    input clk,
    input [31:0] sig_in_17,
    output reg [31:0] sig_out_17
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_17 = sig_in_17 + 1'b1;
    end
endmodule
","module race_mod_17 (
    input clk,
    input [31:0] sig_in_17,
    output reg [31:0] sig_out_17
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_17 <= sig_in_17 + 1'b1;
    end
endmodule
"
01_race_conditions_18,01_race_conditions,dataset/01_race_conditions/sample_18_buggy.v,dataset/01_race_conditions/sample_18_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_18 (
    input clk,
    input [15:0] sig_in_18,
    output reg [15:0] sig_out_18
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_18 = sig_in_18 + 1'b1;
    end
endmodule
","module race_mod_18 (
    input clk,
    input [15:0] sig_in_18,
    output reg [15:0] sig_out_18
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_18 <= sig_in_18 + 1'b1;
    end
endmodule
"
01_race_conditions_19,01_race_conditions,dataset/01_race_conditions/sample_19_buggy.v,dataset/01_race_conditions/sample_19_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_19 (
    input clk,
    input [15:0] sig_in_19,
    output reg [15:0] sig_out_19
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_19 = sig_in_19 + 1'b1;
    end
endmodule
","module race_mod_19 (
    input clk,
    input [15:0] sig_in_19,
    output reg [15:0] sig_out_19
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_19 <= sig_in_19 + 1'b1;
    end
endmodule
"
01_race_conditions_20,01_race_conditions,dataset/01_race_conditions/sample_20_buggy.v,dataset/01_race_conditions/sample_20_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_20 (
    input clk,
    input [7:0] sig_in_20,
    output reg [7:0] sig_out_20
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_20 = sig_in_20 + 1'b1;
    end
endmodule
","module race_mod_20 (
    input clk,
    input [7:0] sig_in_20,
    output reg [7:0] sig_out_20
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_20 <= sig_in_20 + 1'b1;
    end
endmodule
"
01_race_conditions_21,01_race_conditions,dataset/01_race_conditions/sample_21_buggy.v,dataset/01_race_conditions/sample_21_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_21 (
    input clk,
    input [63:0] sig_in_21,
    output reg [63:0] sig_out_21
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_21 = sig_in_21 + 1'b1;
    end
endmodule
","module race_mod_21 (
    input clk,
    input [63:0] sig_in_21,
    output reg [63:0] sig_out_21
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_21 <= sig_in_21 + 1'b1;
    end
endmodule
"
01_race_conditions_22,01_race_conditions,dataset/01_race_conditions/sample_22_buggy.v,dataset/01_race_conditions/sample_22_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_22 (
    input clk,
    input [31:0] sig_in_22,
    output reg [31:0] sig_out_22
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_22 = sig_in_22 + 1'b1;
    end
endmodule
","module race_mod_22 (
    input clk,
    input [31:0] sig_in_22,
    output reg [31:0] sig_out_22
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_22 <= sig_in_22 + 1'b1;
    end
endmodule
"
01_race_conditions_23,01_race_conditions,dataset/01_race_conditions/sample_23_buggy.v,dataset/01_race_conditions/sample_23_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_23 (
    input clk,
    input [31:0] sig_in_23,
    output reg [31:0] sig_out_23
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_23 = sig_in_23 + 1'b1;
    end
endmodule
","module race_mod_23 (
    input clk,
    input [31:0] sig_in_23,
    output reg [31:0] sig_out_23
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_23 <= sig_in_23 + 1'b1;
    end
endmodule
"
01_race_conditions_24,01_race_conditions,dataset/01_race_conditions/sample_24_buggy.v,dataset/01_race_conditions/sample_24_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_24 (
    input clk,
    input [7:0] sig_in_24,
    output reg [7:0] sig_out_24
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_24 = sig_in_24 + 1'b1;
    end
endmodule
","module race_mod_24 (
    input clk,
    input [7:0] sig_in_24,
    output reg [7:0] sig_out_24
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_24 <= sig_in_24 + 1'b1;
    end
endmodule
"
01_race_conditions_25,01_race_conditions,dataset/01_race_conditions/sample_25_buggy.v,dataset/01_race_conditions/sample_25_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_25 (
    input clk,
    input [3:0] sig_in_25,
    output reg [3:0] sig_out_25
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_25 = sig_in_25 + 1'b1;
    end
endmodule
","module race_mod_25 (
    input clk,
    input [3:0] sig_in_25,
    output reg [3:0] sig_out_25
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_25 <= sig_in_25 + 1'b1;
    end
endmodule
"
01_race_conditions_26,01_race_conditions,dataset/01_race_conditions/sample_26_buggy.v,dataset/01_race_conditions/sample_26_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_26 (
    input clk,
    input [15:0] sig_in_26,
    output reg [15:0] sig_out_26
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_26 = sig_in_26 + 1'b1;
    end
endmodule
","module race_mod_26 (
    input clk,
    input [15:0] sig_in_26,
    output reg [15:0] sig_out_26
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_26 <= sig_in_26 + 1'b1;
    end
endmodule
"
01_race_conditions_27,01_race_conditions,dataset/01_race_conditions/sample_27_buggy.v,dataset/01_race_conditions/sample_27_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_27 (
    input clk,
    input [7:0] sig_in_27,
    output reg [7:0] sig_out_27
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_27 = sig_in_27 + 1'b1;
    end
endmodule
","module race_mod_27 (
    input clk,
    input [7:0] sig_in_27,
    output reg [7:0] sig_out_27
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_27 <= sig_in_27 + 1'b1;
    end
endmodule
"
01_race_conditions_28,01_race_conditions,dataset/01_race_conditions/sample_28_buggy.v,dataset/01_race_conditions/sample_28_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_28 (
    input clk,
    input [3:0] sig_in_28,
    output reg [3:0] sig_out_28
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_28 = sig_in_28 + 1'b1;
    end
endmodule
","module race_mod_28 (
    input clk,
    input [3:0] sig_in_28,
    output reg [3:0] sig_out_28
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_28 <= sig_in_28 + 1'b1;
    end
endmodule
"
01_race_conditions_29,01_race_conditions,dataset/01_race_conditions/sample_29_buggy.v,dataset/01_race_conditions/sample_29_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_29 (
    input clk,
    input [31:0] sig_in_29,
    output reg [31:0] sig_out_29
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_29 = sig_in_29 + 1'b1;
    end
endmodule
","module race_mod_29 (
    input clk,
    input [31:0] sig_in_29,
    output reg [31:0] sig_out_29
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_29 <= sig_in_29 + 1'b1;
    end
endmodule
"
01_race_conditions_30,01_race_conditions,dataset/01_race_conditions/sample_30_buggy.v,dataset/01_race_conditions/sample_30_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_30 (
    input clk,
    input [15:0] sig_in_30,
    output reg [15:0] sig_out_30
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_30 = sig_in_30 + 1'b1;
    end
endmodule
","module race_mod_30 (
    input clk,
    input [15:0] sig_in_30,
    output reg [15:0] sig_out_30
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_30 <= sig_in_30 + 1'b1;
    end
endmodule
"
01_race_conditions_31,01_race_conditions,dataset/01_race_conditions/sample_31_buggy.v,dataset/01_race_conditions/sample_31_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_31 (
    input clk,
    input [15:0] sig_in_31,
    output reg [15:0] sig_out_31
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_31 = sig_in_31 + 1'b1;
    end
endmodule
","module race_mod_31 (
    input clk,
    input [15:0] sig_in_31,
    output reg [15:0] sig_out_31
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_31 <= sig_in_31 + 1'b1;
    end
endmodule
"
01_race_conditions_32,01_race_conditions,dataset/01_race_conditions/sample_32_buggy.v,dataset/01_race_conditions/sample_32_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_32 (
    input clk,
    input [15:0] sig_in_32,
    output reg [15:0] sig_out_32
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_32 = sig_in_32 + 1'b1;
    end
endmodule
","module race_mod_32 (
    input clk,
    input [15:0] sig_in_32,
    output reg [15:0] sig_out_32
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_32 <= sig_in_32 + 1'b1;
    end
endmodule
"
01_race_conditions_33,01_race_conditions,dataset/01_race_conditions/sample_33_buggy.v,dataset/01_race_conditions/sample_33_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_33 (
    input clk,
    input [3:0] sig_in_33,
    output reg [3:0] sig_out_33
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_33 = sig_in_33 + 1'b1;
    end
endmodule
","module race_mod_33 (
    input clk,
    input [3:0] sig_in_33,
    output reg [3:0] sig_out_33
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_33 <= sig_in_33 + 1'b1;
    end
endmodule
"
01_race_conditions_34,01_race_conditions,dataset/01_race_conditions/sample_34_buggy.v,dataset/01_race_conditions/sample_34_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_34 (
    input clk,
    input [7:0] sig_in_34,
    output reg [7:0] sig_out_34
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_34 = sig_in_34 + 1'b1;
    end
endmodule
","module race_mod_34 (
    input clk,
    input [7:0] sig_in_34,
    output reg [7:0] sig_out_34
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_34 <= sig_in_34 + 1'b1;
    end
endmodule
"
01_race_conditions_35,01_race_conditions,dataset/01_race_conditions/sample_35_buggy.v,dataset/01_race_conditions/sample_35_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_35 (
    input clk,
    input [3:0] sig_in_35,
    output reg [3:0] sig_out_35
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_35 = sig_in_35 + 1'b1;
    end
endmodule
","module race_mod_35 (
    input clk,
    input [3:0] sig_in_35,
    output reg [3:0] sig_out_35
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_35 <= sig_in_35 + 1'b1;
    end
endmodule
"
01_race_conditions_36,01_race_conditions,dataset/01_race_conditions/sample_36_buggy.v,dataset/01_race_conditions/sample_36_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_36 (
    input clk,
    input [3:0] sig_in_36,
    output reg [3:0] sig_out_36
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_36 = sig_in_36 + 1'b1;
    end
endmodule
","module race_mod_36 (
    input clk,
    input [3:0] sig_in_36,
    output reg [3:0] sig_out_36
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_36 <= sig_in_36 + 1'b1;
    end
endmodule
"
01_race_conditions_37,01_race_conditions,dataset/01_race_conditions/sample_37_buggy.v,dataset/01_race_conditions/sample_37_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_37 (
    input clk,
    input [3:0] sig_in_37,
    output reg [3:0] sig_out_37
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_37 = sig_in_37 + 1'b1;
    end
endmodule
","module race_mod_37 (
    input clk,
    input [3:0] sig_in_37,
    output reg [3:0] sig_out_37
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_37 <= sig_in_37 + 1'b1;
    end
endmodule
"
01_race_conditions_38,01_race_conditions,dataset/01_race_conditions/sample_38_buggy.v,dataset/01_race_conditions/sample_38_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_38 (
    input clk,
    input [3:0] sig_in_38,
    output reg [3:0] sig_out_38
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_38 = sig_in_38 + 1'b1;
    end
endmodule
","module race_mod_38 (
    input clk,
    input [3:0] sig_in_38,
    output reg [3:0] sig_out_38
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_38 <= sig_in_38 + 1'b1;
    end
endmodule
"
